Category,Latitude,Longitude
Residential,27.7730333,85.3462901
Residential,27.7653253,85.3436147
Residential,27.7655131,85.3436555
Residential,27.7730648,85.3462461
Residential,27.7741212,85.3465339
Residential,27.7699443,85.35423
Residential,27.7699922,85.3541693
Residential,27.7695126,85.3539828
Residential,27.7736543,85.3470779
Residential,27.7724004,85.3457577
Residential,27.7725476,85.3455202
Residential,27.7723265,85.3460522
Residential,27.7730366,85.3467127
Residential,27.7709007,85.3574612
Residential,27.7707663,85.3572519
Residential,27.7708091,85.356852
Residential,27.7705692,85.3568894
Residential,27.7706122,85.3570061
Residential,27.7705553,85.3568845
Residential,27.7710457,85.356996
Residential,27.7702376,85.3571442
Residential,27.7659982,85.3434244
Residential,27.7663198,85.343816
Residential,27.769412,85.3510404
Residential,27.7696524,85.350903
Residential,27.7697711,85.3510304
Residential,27.7693523,85.3508919
Residential,27.7694102,85.3507928
Residential,27.7693836,85.3508158
Residential,27.7693036,85.3509252
Residential,27.769299,85.3509024
Residential,27.7695121,85.3507335
Residential,27.7730858,85.3459227
Residential,27.7738923,85.345963
Residential,27.7723693,85.345333
Residential,27.7691542,85.3485721
Residential,27.7686476,85.3481396
Residential,27.7686827,85.3481673
Residential,27.7686283,85.3483367
Residential,27.7686985,85.348162
Residential,27.7685543,85.3489061
Residential,27.7686243,85.3485548
Residential,27.7687205,85.3491902
Residential,27.7686726,85.3484194
Residential,27.7686213,85.3511667
Residential,27.7685433,85.350522
Residential,27.7682487,85.3505173
Residential,27.7686294,85.3501749
Residential,27.7733714,85.350756
Residential,27.7663365,85.3437314
Residential,27.7663099,85.343773
Residential,27.7663558,85.3436776
Residential,27.7723,85.3485967
Residential,27.7720366,85.3487407
Residential,27.772751,85.3485903
Residential,27.7715368,85.3488664
Residential,27.7724444,85.3486729
Residential,27.7720651,85.3485208
Residential,27.7734283,85.3506269
Residential,27.7723336,85.3490931
Residential,27.7722753,85.3496766
Residential,27.7723674,85.3487803
Residential,27.7726681,85.3500423
Residential,27.7715878,85.3489197
Residential,27.7722161,85.3494958
Residential,27.7719158,85.3483092
Residential,27.7727602,85.3498393
Residential,27.7663908,85.3428042
Residential,27.7661182,85.3435456
Residential,27.7655014,85.343535
Residential,27.7655225,85.3434761
Residential,27.7655517,85.3434851
Residential,27.7655668,85.3434604
Residential,27.7703812,85.3574331
Residential,27.7703857,85.3574013
Residential,27.7702644,85.3571181
